Заводской номер:1707105; Тип:ЭнИ-100; Модель:2166
Дата;Температура, °C;Диапазон;Давление, кПа;Напряжение, мВ;Сопротивнение, Ом;Отклонение
2022-06-21 10:19:32;-30;1;0;-5,4098;3923,3;0
2022-06-21 10:31:19;-30;1;2500;49,485;3924,2;-0,0349
2022-06-21 10:34:24;-30;1;10000;214,2077;3928,8999;-0,1327
2022-06-21 10:36:38;-30;1;15000;324,2754;3934,1001;-0,152
2022-06-21 10:39:31;-30;1;20000;434,6829;3941;-0,1096
2022-06-21 10:42:39;-30;1;25000;545,4608;3949,6001;0
2022-06-21 12:16:58;-5;1;0;-4,094;4074,2;0
2022-06-21 12:18:39;-5;1;2500;51,5118;4075;-0,0298
2022-06-21 12:20:36;-5;1;10000;218,3782;4079,6001;-0,1106
2022-06-21 12:22:05;-5;1;15000;329,8374;4084,6001;-0,1259
2022-06-21 12:23:52;-5;1;20000;441,5756;4091,1001;-0,0911
2022-06-21 12:25:28;-5;1;25000;553,6284;4099,1001;0
2022-06-21 15:26:11;23;1;0;-2,3581;4250,2002;0
2022-06-21 15:28:04;23;1;2500;53,8639;4251;-0,0252
2022-06-21 15:30:04;23;1;10000;222,5798;4255,6001;-0,0921
2022-06-21 15:31:43;23;1;15000;335,2415;4260,2998;-0,104
2022-06-21 15:33:38;23;1;20000;448,1406;4266,5;-0,0737
2022-06-21 15:35:04;23;1;25000;561,2845;4274,1001;0
2022-06-21 17:21:44;80;1;0;1,2581;4623,2002;0
2022-06-21 17:23:18;80;1;2500;58,3447;4624,2002;-0,017
2022-06-21 17:25:43;80;1;10000;229,6331;4628,7002;-0,0631
2022-06-21 17:27:31;80;1;15000;343,9572;4633,1001;-0,0708
2022-06-21 17:29:38;80;1;20000;458,4615;4638,7998;-0,0469
2022-06-21 17:31:26;80;1;25000;573,0979;4645,6001;0
